parent_bite_id,phase,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames
trial_0013_bite_007,withdrawal,0.30368556587820095,0.30368556587820095,0.2010382956176825,0.2893043546914904,0.3767573404106894,136
trial_0013_bite_008,transfer,0.07617778359443461,0.07617778359443461,0.041827208374479834,0.07246272430496248,0.31993559498347324,198
trial_0013_bite_008,withdrawal,0.35087684926281604,0.35087684926281604,0.2109039814599831,0.34969322676610703,0.3673068911049251,85
trial_0013_bite_009,transfer,0.07320040167435682,0.07320040167435682,0.02240233921613101,0.04142811149993886,0.2519155008433063,158
trial_0013_bite_009,withdrawal,0.37846164772724444,0.37846164772724444,0.23419189783678468,0.3637450373408835,0.4551128739902741,108
trial_0013_bite_010,transfer,0.05760273776666791,0.05760273776666791,0.02580621416259299,0.05092565136085758,0.21627886101168015,135
trial_0013_bite_010,withdrawal,0.26536115149731865,0.26536115149731865,0.18704344844517465,0.25510106602005544,0.37665148488106803,140
trial_0013_bite_011,transfer,0.05577120037102157,0.05577120037102157,0.02004850147984391,0.04852199908605126,0.1845359310302026,131
trial_0013_bite_011,withdrawal,0.39947256081702154,0.39947256081702154,0.26619681954080404,0.3933962172802419,0.47981721260190024,118
trial_0013_bite_012,transfer,0.16472836873426866,0.16472836873426866,0.12449538302564031,0.16472836873426866,0.264569757807418,140
trial_0013_bite_012,withdrawal,0.35342841137037917,0.32828378594831253,0.1706792761415745,0.2661575814321089,0.3803441643367882,94
trial_0014_bite_001,transfer,0.1725031064839504,0.1725031064839504,0.12885057926400525,0.1725031064839504,0.31510630384085925,156
trial_0014_bite_001,withdrawal,0.32978279305005387,0.32978279305005387,0.18215188232183785,0.3167411292535447,0.35719944605428955,98
trial_0014_bite_002,transfer,0.10061674818939226,0.10061674818939226,0.06282923584528273,0.09926617528293225,0.215582105258187,174
trial_0014_bite_002,withdrawal,0.4599373878641768,0.4599373878641768,0.16404235056368546,0.34324249126623085,0.5822091865354513,109
trial_0014_bite_003,transfer,0.23974330376870867,0.23974330376870867,0.1753538581612889,0.23974330376870867,0.29027780298720574,132
trial_0014_bite_003,withdrawal,0.4465934657839772,0.4465934657839772,0.24348697860578003,0.40433986354674945,0.4888470680212049,102
trial_0014_bite_004,transfer,0.2340678494237456,0.2340678494237456,0.16903029916612866,0.2340678494237456,0.29738540177763273,112
trial_0014_bite_004,withdrawal,0.23607604395443316,0.23607604395443316,0.1276315320611255,0.18786936709517832,0.2973326611229785,95
trial_0014_bite_005,transfer,0.3584770672839732,0.3584770672839732,0.2627562955182271,0.3584770672839732,0.3628285846760777,124
trial_0014_bite_005,withdrawal,0.3438763499392259,0.3438763499392259,0.20487132530614668,0.3108405194447852,0.37705907456513676,62
trial_0014_bite_006,transfer,0.25601576311064145,0.25601576311064145,0.17895658170696796,0.25601576311064145,0.25958194666737056,91
