model,parent_bite_id,take,phase,circular_mae,circular_rmse,delta_rmse,n_frames_x,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames_y
R0_hold_psi0,trial_0014_bite_016,trial_0014,transfer,0.24077612143102575,0.2556895857376373,0.2556895857376373,137,0.3074919738409525,0.3074919738409525,0.2556895857376373,0.3074919738409525,0.3373336599766965,137
R0_hold_psi0,trial_0014_bite_016,trial_0014,withdrawal,0.13183398232139215,0.15558097358429046,0.15558097358429046,94,0.23765775421777224,0.23765775421777224,0.15558097358429046,0.22545737663183818,0.2570206386601961,94
R0_hold_psi0,trial_0014_bite_017,trial_0014,transfer,0.15750971388771312,0.17399772116521228,0.17399772116521228,121,0.2405143628675006,0.2405143628675006,0.17399772116521228,0.2348421084073995,0.26366086581742065,121
R0_hold_psi0,trial_0014_bite_017,trial_0014,withdrawal,0.17066888672121333,0.2064601010366711,0.2064601010366711,99,0.32460949603337097,0.32460949603337097,0.2064601010366711,0.30919752875401585,0.35384972560788786,99
R0_hold_psi0,trial_0014_bite_018,trial_0014,transfer,0.2042689250001307,0.2255918500660542,0.2255918500660542,156,0.2935016794165137,0.2935016794165137,0.2255918500660542,0.2935016794165137,0.31255985870195113,156
R0_hold_psi0,trial_0014_bite_018,trial_0014,withdrawal,0.14351263846498866,0.18348026139490473,0.18348026139490473,86,0.2924929418993023,0.2924929418993023,0.18348026139490473,0.29133543269190243,0.32191267723434747,86
R0_hold_psi0,trial_0014_bite_019,trial_0014,transfer,0.0820402930700888,0.08985727604395148,0.08985727604395148,127,0.1349740297541362,0.1349740297541362,0.08985727604395148,0.1349740297541362,0.24611684416802015,127
R0_hold_psi0,trial_0014_bite_019,trial_0014,withdrawal,0.11281957873707789,0.146243292158099,0.14624329215809898,104,0.4095429817522702,0.4095429817522702,0.14624329215809898,0.3167863598020024,0.502299603702538,104
R0_hold_psi0,trial_0014_bite_020,trial_0014,transfer,0.04580201149262648,0.055295788023378305,0.055295788023378305,157,0.16902524354351245,0.16902524354351245,0.055295788023378305,0.10164590483562197,0.29278772197023706,157
R0_hold_psi0,trial_0014_bite_020,trial_0014,withdrawal,0.17678621744002707,0.21895606441036602,0.21895606441036602,104,0.38431394336541436,0.38431394336541436,0.21895606441036602,0.36034595825657334,0.40867222390608937,104
R0_hold_psi0,trial_0014_bite_021,trial_0014,transfer,0.1199063738554768,0.13535996426912486,0.13535996426912486,205,0.1872794500175412,0.1872794500175412,0.13535996426912486,0.1872794500175412,0.25894736458663736,205
R0_hold_psi0,trial_0014_bite_021,trial_0014,withdrawal,0.23231127741707344,0.2715594843140607,0.2715594843140607,99,0.39251039651390807,0.39251039651390807,0.2715594843140607,0.38778659827876893,0.5017283269214206,99
R0_hold_psi0,trial_0015_bite_001,trial_0015,transfer,0.0806061335814962,0.08336180335011725,0.08336180335011725,145,0.11310148116708518,0.11310148116708518,0.08336180335011725,0.11310148116708518,0.23556661337911633,145
R0_hold_psi0,trial_0015_bite_001,trial_0015,withdrawal,0.20481512384227063,0.23769285294096582,0.23769285294096582,149,0.37615347324745807,0.37615347324745807,0.23769285294096582,0.37615347324745807,0.3763096615770434,149
R0_hold_psi0,trial_0015_bite_002,trial_0015,transfer,0.15853878729618406,0.17965280411053738,0.17965280411053738,108,0.25192600402993115,0.25192600402993115,0.17965280411053738,0.25192600402993115,0.2917323977848274,108
R0_hold_psi0,trial_0015_bite_002,trial_0015,withdrawal,0.2548808100064305,0.3192633020992282,0.3192633020992282,129,0.5389296693758969,0.5389296693758969,0.3192633020992282,0.5376755147156671,0.5444716490174311,129
R0_hold_psi0,trial_0015_bite_003,trial_0015,transfer,0.1500660194766887,0.16908593550128106,0.16908593550128106,154,0.22571206177204717,0.22571206177204717,0.16908593550128106,0.22571206177204717,0.2756429297891567,154
R0_hold_psi0,trial_0015_bite_003,trial_0015,withdrawal,0.17217380808360624,0.23176205125135854,0.23176205125135854,153,0.4126415976705964,0.4126415976705964,0.23176205125135854,0.3877316674882394,0.43808724250049647,153
R0_hold_psi0,trial_0015_bite_004,trial_0015,transfer,0.143102569045542,0.16077268379095921,0.1607726837909592,145,0.23297047435831386,0.23297047435831386,0.1607726837909592,0.23297047435831386,0.3080330849112576,145
R0_hold_psi0,trial_0015_bite_004,trial_0015,withdrawal,0.14671715684456202,0.19589505857651887,0.19589505857651887,136,0.40375006718413076,0.40375006718413076,0.19589505857651887,0.3825496798516608,0.42495045451660074,136
R0_hold_psi0,trial_0015_bite_005,trial_0015,transfer,0.16201191199498965,0.18999297598602596,0.18999297598602596,122,0.27825882328898155,0.27825882328898155,0.18999297598602596,0.27825882328898155,0.33484416392551664,122
R0_hold_psi0,trial_0015_bite_005,trial_0015,withdrawal,0.3395757038718945,0.39412753700927017,0.39412753700927017,163,0.5291351483222027,0.5291351483222027,0.39412753700927017,0.5249039537334639,0.5680244561967198,163
R0_hold_psi0,trial_0015_bite_006,trial_0015,transfer,0.17278741373425485,0.19741448213124735,0.19741448213124735,122,0.2636133957559932,0.2636133957559932,0.19741448213124735,0.2636133957559932,0.31333596752844173,122
R0_hold_psi0,trial_0015_bite_006,trial_0015,withdrawal,0.1788900611770009,0.23765993126986362,0.23765993126986362,146,0.5276413105411635,0.5276413105411635,0.23765993126986362,0.44485606282337287,0.613537929718476,146
R0_hold_psi0,trial_0015_bite_007,trial_0015,transfer,0.10859646246183564,0.11771180480677366,0.11771180480677366,127,0.1495491803811655,0.1495491803811655,0.11771180480677366,0.1495491803811655,0.18559399519387743,127
R0_hold_psi0,trial_0015_bite_007,trial_0015,withdrawal,0.1182787567638042,0.14156373103827818,0.14156373103827818,144,0.25232250711332815,0.25232250711332815,0.14156373103827818,0.22491259340682968,0.3575567761545635,144
R0_hold_psi0,trial_0015_bite_008,trial_0015,transfer,0.06700702095127628,0.07823974529380605,0.07823974529380605,169,0.13131544241476734,0.13131544241476734,0.07823974529380605,0.12666454012617878,0.18071010318987168,169
R0_hold_psi0,trial_0015_bite_008,trial_0015,withdrawal,0.05288310086908673,0.06462401200235732,0.06462401200235732,227,0.1448095946548138,0.1448095946548138,0.06462401200235732,0.11305430962317597,0.24108453752572023,227
