grouping,group,condition,offset_rad,strategy,reference,support_bites,support_common_success_frames,psi_mae,psi_rmse,q_rms,elbow_mean,plane_mean
take,trial_0015,psi0_minus_025,-0.25,H_star,shifted_HumanGT,19,5218,0.07914511466594028,0.09503089819626195,0.18059298940318186,0.020870219765995984,0.079145114697167
take,trial_0015,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,19,5210,0.13861735114809443,0.16694998228803243,0.3227372483538833,0.03570780001875313,0.13861735117952087
take,trial_0015,psi0_nominal,0.0,B0,shifted_HumanGT,19,5212,0.1384758947380079,0.166586547470163,0.29315926841892365,0.03508026807899892,0.138475894764665
take,trial_0015,psi0_nominal,0.0,B2,shifted_HumanGT,19,5211,0.08083805230007902,0.09763596629289498,0.17165779486680344,0.021155642631667745,0.08083805232673487
take,trial_0015,psi0_nominal,0.0,B3,shifted_HumanGT,19,5211,0.08009031740883714,0.09702699817438576,0.172200957336045,0.020889645138417793,0.08009031743556407
take,trial_0015,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,19,5212,0.07261746512570548,0.08840624832612214,0.15767380654724805,0.018731564251791566,0.07261746515237087
take,trial_0015,psi0_nominal,0.0,H_star,shifted_HumanGT,19,5212,0.07914805459031142,0.09503404218985807,0.1679927282678314,0.020531011656237694,0.07914805461699069
take,trial_0015,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,19,5204,0.13870997694361567,0.16770838674347652,0.3005116238115502,0.03518734462516407,0.1387099769702681
take,trial_0015,psi0_plus_025,0.25,B0,shifted_HumanGT,19,5205,0.13835509458444636,0.16645795538520772,0.28734285054853914,0.034127445091692604,0.13835509460470197
take,trial_0015,psi0_plus_025,0.25,B2,shifted_HumanGT,19,5205,0.08083533587383644,0.09763594836056524,0.1621439987858448,0.020599189307181808,0.08083533589408481
take,trial_0015,psi0_plus_025,0.25,B3,shifted_HumanGT,19,5205,0.08011452764761318,0.09704136985115835,0.1616827869733697,0.02032253691889758,0.08011452766767176
take,trial_0015,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,19,5205,0.07263056760028809,0.08841447452622646,0.14867497451346465,0.018231683266052442,0.07263056762053134
take,trial_0015,psi0_plus_025,0.25,H_star,shifted_HumanGT,19,5205,0.07915368688163087,0.09503237097021534,0.15839446516750866,0.019983099114972848,0.07915368690187803
take,trial_0015,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,19,5198,0.1435122691790648,0.17384224277021695,0.29165359076408504,0.03517473537988153,0.1435122691993182
take,trial_0017,psi0_minus_025,-0.25,B0,shifted_HumanGT,15,3744,0.09899381878442029,0.12132910743560424,0.22626712510270192,0.025991217633216546,0.09899381886851809
take,trial_0017,psi0_minus_025,-0.25,B2,shifted_HumanGT,15,3737,0.05352087134771976,0.06380880975627587,0.12712363037238808,0.012506773286334547,0.053520871431828376
take,trial_0017,psi0_minus_025,-0.25,B3,shifted_HumanGT,15,3736,0.05474037470779676,0.06651369105213961,0.13070742862297732,0.013175905158083144,0.05474037479190473
take,trial_0017,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,15,3744,0.05330846936326923,0.06399417865745259,0.12287208150939914,0.012772755403562423,0.05330846944738405
take,trial_0017,psi0_minus_025,-0.25,H_star,shifted_HumanGT,15,3743,0.0410571642468773,0.04878048884658546,0.09890695716976629,0.00962038319043467,0.041057164330977954
take,trial_0017,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,15,3740,0.08314889029962934,0.1021990365791699,0.19281430844123323,0.02125228183419229,0.08314889038372852
take,trial_0017,psi0_nominal,0.0,B0,shifted_HumanGT,15,3728,0.0988147398454535,0.12119796730590567,0.22037019367929536,0.025843244234866895,0.09881473993263275
take,trial_0017,psi0_nominal,0.0,B2,shifted_HumanGT,15,3727,0.05344556802387209,0.06376241921091977,0.12305942794761174,0.012335686635204643,0.053445568111046324
take,trial_0017,psi0_nominal,0.0,B3,shifted_HumanGT,15,3727,0.05464638543810444,0.06645223579736867,0.12302999209349313,0.013014575506921758,0.05464638552527916
take,trial_0017,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,15,3728,0.05328117838549444,0.06396658058285726,0.12584133749825366,0.012634589177416826,0.05328117847267318
take,trial_0017,psi0_nominal,0.0,H_star,shifted_HumanGT,15,3728,0.04098852702085663,0.048725067000514,0.09134411269474886,0.009488194236453217,0.040988527108024336
