condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,take
psi0_plus_025,0.25,StrongLocal,12,29,29,100.0,2756,2644,95.93613933236574,26,89.65517241379311,0,112,0,0,100.0,0,4.606340457456418,0.9913885825892326,46.97109162338464,6995.58433692787,0.2699406017369496,0.19626608657250463,1.3586275019908076,trial_0013
psi0_plus_025,0.25,H_star,12,29,29,100.0,2756,2643,95.89985486211901,26,89.65517241379311,0,113,0,0,100.0,0,4.678535208359483,0.9864491912429144,54.106205111259094,8511.737978495215,0.2694736923349625,0.19664559673974283,1.358259482763805,trial_0013
psi0_plus_025,0.25,RobotSmooth,12,29,29,100.0,2756,2703,98.07692307692308,27,93.10344827586206,0,0,0,0,100.0,0,4.910856165513809,0.9554598155265994,56.55329185635003,9243.376699153352,0.24352431104366765,0.19725270583659038,1.3588629916542343,trial_0013
psi0_minus_025,-0.25,HumanGT,21,42,42,100.0,4670,4657,99.72162740899357,41,97.61904761904762,0,13,0,3,99.93558084603822,3,5.037655820987997,1.0798392256988156,28.304413101724542,4039.2457611539453,0.5815230699775011,0.26134836077908163,1.197725126644278,trial_0014
psi0_minus_025,-0.25,B0,21,42,42,100.0,4670,4635,99.25053533190578,38,90.47619047619048,0,35,0,52,98.87810140237325,53,5.32730927674947,1.1258361896967704,25.42547853363787,3391.083171942214,0.542933945579717,0.2589241289084842,1.1669202315980056,trial_0014
psi0_minus_025,-0.25,B2,21,42,42,100.0,4670,4659,99.7644539614561,41,97.61904761904762,0,11,0,8,99.82828933247478,7,5.168504505598741,1.0951301207991821,26.296566910808473,3559.4328688879723,0.5924708898642875,0.2632734400485077,1.1819451349664671,trial_0014
psi0_minus_025,-0.25,B3,21,42,42,100.0,4670,4659,99.7644539614561,41,97.61904761904762,0,11,0,7,99.84975316591543,9,5.408581433215588,1.1363925616079478,37.60467457541591,5591.391740412944,0.5900135261855439,0.2631417067885685,1.181818622387011,trial_0014
psi0_minus_025,-0.25,StrongLocal,21,42,42,100.0,4670,4660,99.78586723768737,40,95.23809523809524,0,10,0,15,99.67811158798283,17,5.424460888358037,1.146607398139209,41.59151395963974,6507.944796041551,0.5934814193470065,0.26396206071882905,1.1774638964608843,trial_0014
psi0_minus_025,-0.25,H_star,21,42,42,100.0,4670,4660,99.78586723768737,41,97.61904761904762,0,10,0,19,99.5922746781116,19,5.498822134539499,1.1557167406724382,50.50285424436453,8212.429094412399,0.5926924474158335,0.2636739382770278,1.1790242890234748,trial_0014
psi0_minus_025,-0.25,RobotSmooth,21,42,42,100.0,4670,4663,99.85010706638116,41,97.61904761904762,0,0,0,0,100.0,12,6.0782862507157445,1.3508330768116334,83.77129109450036,13833.59860323994,0.5621815486259912,0.26208381034080125,1.1649589109804117,trial_0014
psi0_nominal,0.0,HumanGT,21,42,42,100.0,4670,4648,99.52890792291221,41,97.61904761904762,0,22,0,1,99.97848537005163,1,4.604203870411158,0.9289600050982122,24.192494567798004,3410.5528797706406,0.5062425665654935,0.25209367620707474,1.2884801617210382,trial_0014
psi0_nominal,0.0,B0,21,42,42,100.0,4670,4653,99.63597430406853,41,97.61904761904762,0,17,0,1,99.97850848914679,1,4.969703854192505,0.9906221971108216,23.098789114671547,3190.9959995448235,0.4615333949880179,0.25171740657069863,1.248962071446083,trial_0014
psi0_nominal,0.0,B2,21,42,42,100.0,4670,4649,99.55032119914347,41,97.61904761904762,0,21,0,1,99.978489997849,1,4.742204202339922,0.9553086440207151,23.29495992521077,3118.4481525811702,0.5236841634276004,0.2546729238525017,1.2733486609822644,trial_0014
psi0_nominal,0.0,B3,21,42,42,100.0,4670,4649,99.55032119914347,41,97.61904761904762,0,21,0,1,99.978489997849,1,4.954744029607757,0.9896394614651488,32.959587679607644,4866.511236682334,0.5195856375692793,0.2546030128044955,1.272702134998457,trial_0014
psi0_nominal,0.0,StrongLocal,21,42,42,100.0,4670,4650,99.57173447537473,41,97.61904761904762,0,20,0,2,99.95698924731182,2,4.965126127751725,0.9893672442904913,35.884752603401964,5650.180524129534,0.528824345490668,0.2555391706918472,1.2674728389119783,trial_0014
psi0_nominal,0.0,H_star,21,42,42,100.0,4670,4649,99.55032119914347,41,97.61904761904762,0,21,0,1,99.978489997849,1,5.051503891140643,1.0039614405595767,44.365941315779544,7181.802465912341,0.5275518542831461,0.25525068471394663,1.269313871172313,trial_0014
psi0_nominal,0.0,RobotSmooth,21,42,42,100.0,4670,4663,99.85010706638116,41,97.61904761904762,0,0,0,0,100.0,0,5.023189251901324,1.008614287024739,31.26732596720788,4766.090423160798,0.4699925053769153,0.2521996186642018,1.2504086615030396,trial_0014
psi0_plus_025,0.25,HumanGT,21,42,42,100.0,4670,4645,99.46466809421841,41,97.61904761904762,0,25,0,1,99.97847147470398,1,4.302275727574658,0.8435313702474273,21.73431473246644,3076.038859885054,0.38729294088397803,0.24129554173354098,1.3371114016485552,trial_0014
psi0_plus_025,0.25,B0,21,42,42,100.0,4670,4591,98.30835117773019,38,90.47619047619048,56,23,0,1,99.9782182531039,1,4.608702583611692,0.9162178529725764,20.17865084687226,2766.40562473319,0.3556537971670948,0.24310335447479597,1.304608719919173,trial_0014
psi0_plus_025,0.25,B2,21,42,42,100.0,4670,4646,99.48608137044968,41,97.61904761904762,0,24,0,1,99.97847610848041,1,4.412807305574186,0.860902596885311,20.55377846999071,2783.4872284404587,0.4058519373909279,0.2443205368809117,1.3270618553897995,trial_0014
psi0_plus_025,0.25,B3,21,42,42,100.0,4670,4646,99.48608137044968,41,97.61904761904762,0,24,0,1,99.97847610848041,1,4.602260978288976,0.8924589094837193,29.307404816418355,4359.422544558285,0.3989096326853011,0.24419260547712915,1.3260910875927105,trial_0014
psi0_plus_025,0.25,StrongLocal,21,42,42,100.0,4670,4646,99.48608137044968,41,97.61904761904762,0,24,0,0,100.0,0,4.615391358779471,0.9067627403998907,33.21000853490588,5118.013997691967,0.41061961768452254,0.24509495766287304,1.3242244713960887,trial_0014
psi0_plus_025,0.25,H_star,21,42,42,100.0,4670,4646,99.48608137044968,41,97.61904761904762,0,24,0,1,99.97847610848041,1,4.684847636202917,0.9063226860564532,39.8733652361949,6469.289830403783,0.4073507374126223,0.2448063666531079,1.3241730591323373,trial_0014
psi0_plus_025,0.25,RobotSmooth,21,42,42,100.0,4670,4663,99.85010706638116,41,97.61904761904762,0,0,0,0,100.0,0,4.760829726770987,0.9349348693084732,33.55538056036716,5335.230706696221,0.36213437020976497,0.24347603826001873,1.3040118202578472,trial_0014
psi0_minus_025,-0.25,HumanGT,19,38,37,97.36842105263158,5559,5219,93.88379204892966,34,89.47368421052632,0,163,0,2,99.9616784824679,1,4.102441875965335,0.6777629424074255,31.835845407112533,4315.804602945486,0.7075662340180958,0.2229288241743429,1.322328142156849,trial_0015
psi0_minus_025,-0.25,B0,19,38,37,97.36842105263158,5559,5223,93.95574743658932,34,89.47368421052632,0,159,0,3,99.94256174612292,3,4.416791351578261,0.662895040795853,28.476655835293723,3982.2874670235246,0.6503076758346512,0.22661407267375952,1.3162800876155496,trial_0015
psi0_minus_025,-0.25,B2,19,38,37,97.36842105263158,5559,5219,93.88379204892966,34,89.47368421052632,0,163,0,0,100.0,0,4.123302424502349,0.6818781083285245,31.224430128607416,4038.221630169261,0.676970756476175,0.2234880990830124,1.333800743496574,trial_0015
psi0_minus_025,-0.25,B3,19,38,37,97.36842105263158,5559,5219,93.88379204892966,34,89.47368421052632,0,163,0,0,100.0,0,4.228966673814351,0.6988670577997819,36.44522082726517,4974.708332937151,0.6777706653866944,0.2236559599516971,1.335047620287228,trial_0015
