comparison,condition,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-B3,psi0_minus_025,overall,violations,0.08267716535433071,0.01968503937007874,0.15354330708661418,127,OK
StrongLocal-B3,psi0_minus_025,transfer,psi_mae,0.0032309932600390247,0.0006829702173352058,0.005791023049091512,125,OK
StrongLocal-B3,psi0_minus_025,transfer,elbow_mean,0.00044019236090101546,-0.00016681791543398446,0.00103564830906512,125,OK
StrongLocal-B3,psi0_minus_025,transfer,travel,0.006305011896530307,-0.02503689815170361,0.0385739613700723,127,OK
StrongLocal-B3,psi0_minus_025,transfer,rms_velocity,0.0017173189996765688,-0.022854849174983927,0.02496462429408574,125,OK
StrongLocal-B3,psi0_minus_025,transfer,min_margin,0.004244781911636226,0.0034406525221256624,0.005138907332381187,125,OK
StrongLocal-B3,psi0_minus_025,transfer,violations,0.03937007874015748,0.007874015748031496,0.08661417322834646,127,OK
StrongLocal-B3,psi0_minus_025,withdrawal,psi_mae,-0.0016828248358352288,-0.00436011059037498,0.0010763872065014267,122,OK
StrongLocal-B3,psi0_minus_025,withdrawal,elbow_mean,-0.000457750317702363,-0.0012285297209378007,0.00033569809466480567,122,OK
StrongLocal-B3,psi0_minus_025,withdrawal,travel,-0.04546941595905098,-0.07636796638372863,-0.015609696733720754,127,OK
StrongLocal-B3,psi0_minus_025,withdrawal,rms_velocity,-0.0032375049766349665,-0.009971016257070484,0.0031566913443699983,122,OK
StrongLocal-B3,psi0_minus_025,withdrawal,min_margin,0.006106213574763642,0.004436383000381343,0.007892895241213324,122,OK
StrongLocal-B3,psi0_minus_025,withdrawal,violations,0.12598425196850394,0.007874015748031496,0.2677165354330709,127,OK
StrongLocal-B3,psi0_nominal,overall,psi_mae,0.0010343185924663206,-0.0009089995371621923,0.0028674727138093357,127,OK
StrongLocal-B3,psi0_nominal,overall,elbow_mean,3.610649459151639e-05,-0.00046193379770370554,0.0005016725730311817,127,OK
StrongLocal-B3,psi0_nominal,overall,travel,-0.020556197925575215,-0.0433449567397689,0.0023280947193928896,127,OK
StrongLocal-B3,psi0_nominal,overall,rms_velocity,-0.0001438477793038407,-0.00888083253250261,0.009170812259172292,127,OK
StrongLocal-B3,psi0_nominal,overall,min_margin,0.007304544577919101,0.006046826813826982,0.00864010305171048,127,OK
StrongLocal-B3,psi0_nominal,overall,violations,0.007874015748031496,-0.011811023622047244,0.031496062992125984,127,OK
StrongLocal-B3,psi0_nominal,transfer,psi_mae,0.0031929039390289917,0.0006650334008678726,0.0057433075936964536,125,OK
StrongLocal-B3,psi0_nominal,transfer,elbow_mean,0.00042032084999741817,-0.0001675986299204028,0.0010123284758840991,125,OK
StrongLocal-B3,psi0_nominal,transfer,travel,0.005113538595593028,-0.019727318803843177,0.030574288176341034,127,OK
StrongLocal-B3,psi0_nominal,transfer,rms_velocity,0.0007190667379260152,-0.012953346725484283,0.014449671946499031,125,OK
StrongLocal-B3,psi0_nominal,transfer,min_margin,0.00556715038714578,0.004290876526977996,0.006963653659500781,125,OK
StrongLocal-B3,psi0_nominal,transfer,violations,0.023622047244094488,-0.015748031496062992,0.06299212598425197,127,OK
StrongLocal-B3,psi0_nominal,withdrawal,psi_mae,-0.001731083246035625,-0.0043748154622365275,0.0010206608937170477,122,OK
StrongLocal-B3,psi0_nominal,withdrawal,elbow_mean,-0.0004546549531426484,-0.0012106906781792813,0.0003337054741506633,122,OK
StrongLocal-B3,psi0_nominal,withdrawal,travel,-0.04622593444674347,-0.0724438190169376,-0.020128329824957186,127,OK
StrongLocal-B3,psi0_nominal,withdrawal,rms_velocity,-0.005515992112265658,-0.01112497810696606,-0.0006494794634057886,122,OK
StrongLocal-B3,psi0_nominal,withdrawal,min_margin,0.009577802606685793,0.007399702983078312,0.011940034060547826,122,OK
StrongLocal-B3,psi0_nominal,withdrawal,violations,-0.007874015748031496,-0.047244094488188976,0.023622047244094488,127,OK
StrongLocal-B3,psi0_plus_025,overall,psi_mae,0.0007156806808183593,-0.0011791817138522781,0.002449378357122791,127,OK
StrongLocal-B3,psi0_plus_025,overall,elbow_mean,-6.422367129944526e-05,-0.000523634263424065,0.00036503411776841647,127,OK
StrongLocal-B3,psi0_plus_025,overall,travel,-0.02641552883995333,-0.04577508580014049,-0.007271446159761772,127,OK
StrongLocal-B3,psi0_plus_025,overall,rms_velocity,0.0018996963582558193,-0.008550322280256841,0.014094790791377826,127,OK
StrongLocal-B3,psi0_plus_025,overall,min_margin,0.0071405828821811766,0.0058659332753720215,0.008444553625146746,127,OK
StrongLocal-B3,psi0_plus_025,overall,violations,-0.01968503937007874,-0.05905511811023622,0.015748031496062992,127,OK
StrongLocal-B3,psi0_plus_025,transfer,psi_mae,0.0032524147817650333,0.0006912689661888004,0.005817530623658663,125,OK
StrongLocal-B3,psi0_plus_025,transfer,elbow_mean,0.00041953913920431986,-0.00015804134220026697,0.000988139184880667,125,OK
StrongLocal-B3,psi0_plus_025,transfer,travel,-0.0035374712795178055,-0.02409149607181546,0.017807844468282062,127,OK
StrongLocal-B3,psi0_plus_025,transfer,rms_velocity,0.002824412880778096,-0.011810230609979256,0.018717378710376504,125,OK
StrongLocal-B3,psi0_plus_025,transfer,min_margin,0.004847105969267963,0.003239860201319761,0.006300068958801508,125,OK
StrongLocal-B3,psi0_plus_025,transfer,violations,0.0,-0.03937007874015748,0.03937007874015748,127,OK
StrongLocal-B3,psi0_plus_025,withdrawal,psi_mae,-0.0024508059858356288,-0.004879419236450558,5.8657935962265995e-05,122,OK
StrongLocal-B3,psi0_plus_025,withdrawal,elbow_mean,-0.000657067744617356,-0.0013507861680210121,5.475705065693324e-05,122,OK
