scope,grouping,group,strategy_a,strategy_b,reported_strategy,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
pairwise_common_success,take,trial_0014,B1,H_star,H_star,4649,42,32249,216.49639354359692,1.8940041902919413,32249,1.8128716778330025,189.40041902919396,31955,171.0280416355214,20857.077275660864,31661,18762.224159876765,2175484.3180936743,1,4649,4649,0.7080702075348185,0.7340675878869511,0.3669677294264013,0.9414901707520797,0.09159705780223959,1.0392683075140834
pairwise_common_success,take,trial_0014,B1,HumanGT,B1,4648,42,32242,231.43541349253172,3.14146119538727,32242,3.930903873794559,314.14611953872674,31948,539.7713036615268,31411.645251401085,31654,93900.1065433125,6278742.237358666,2,4648,4648,0.7297509256923042,0.7734842717727375,0.29459586822709866,1.007520593977404,0.03999418724753312,1.1160904325020313
pairwise_common_success,take,trial_0014,B1,HumanGT,HumanGT,4648,42,32242,198.02176948033778,2.021102025054026,32242,1.8647847401611284,202.1102025054024,31948,175.87439035483087,21978.962563346064,31654,18464.63383139709,2279418.5210519023,1,4648,4648,0.6944785295223055,0.708609558679945,0.3519924493426769,0.9341863170738561,0.17863256172805553,1.074710124975569
pairwise_common_success,take,trial_0014,B2,B3,B2,4649,42,32249,204.07726800071038,2.210914488198619,32249,2.0039689595306083,221.0914488198617,31955,196.3027559361023,24603.72358140784,31661,20851.775435785534,2592945.6419677497,1,4649,4649,0.7107433419466163,0.7360124479710777,0.3665703111162876,0.9476984158211239,0.12406949501959552,1.046267990964198
pairwise_common_success,take,trial_0014,B2,B3,B3,4649,42,32249,212.70460312924564,2.044573529692117,32249,1.9065340016703902,204.4573529692115,31955,182.6914991673583,22702.19551108437,31661,19591.926223844872,2387919.6481315703,1,4649,4649,0.7057359831211999,0.7329729584261422,0.36413261210345854,0.9370968651406713,0.10565474222014881,1.0443771465693326
pairwise_common_success,take,trial_0014,B2,StrongLocal,B2,4649,42,32249,204.07726800071038,2.210914488198619,32249,2.0039689595306083,221.0914488198617,31955,196.3027559361023,24603.72358140784,31661,20851.775435785534,2592945.6419677497,1,4649,4649,0.7107433419466163,0.7360124479710777,0.3665703111162876,0.9476984158211239,0.12406949501959552,1.046267990964198
pairwise_common_success,take,trial_0014,B2,StrongLocal,StrongLocal,4649,42,32249,221.3840409854053,3.1279431834880267,32249,3.3597238681522303,312.7943183488024,31955,440.2663445054742,31306.57282227487,31661,67668.5920535299,6260256.660694788,2,4649,4649,0.7090258769062411,0.7347604715055471,0.37013585525561676,0.9388670447918315,0.10909871553798745,1.0441464773029638
pairwise_common_success,take,trial_0014,B2,H_star,B2,4649,42,32249,204.07726800071038,2.210914488198619,32249,2.0039689595306083,221.0914488198617,31955,196.3027559361023,24603.72358140784,31661,20851.775435785534,2592945.6419677497,1,4649,4649,0.7107433419466163,0.7360124479710777,0.3665703111162876,0.9476984158211239,0.12406949501959552,1.046267990964198
pairwise_common_success,take,trial_0014,B2,H_star,H_star,4649,42,32249,216.49639354359692,1.8940041902919413,32249,1.8128716778330025,189.40041902919396,31955,171.0280416355214,20857.077275660864,31661,18762.224159876765,2175484.3180936743,1,4649,4649,0.7080702075348185,0.7340675878869511,0.3669677294264013,0.9414901707520797,0.09159705780223959,1.0392683075140834
pairwise_common_success,take,trial_0014,B2,HumanGT,B2,4648,42,32242,199.17257649827673,0.2519416308830438,32242,0.9883184638780389,25.194163088304354,31948,24.88900572010264,1325.7328382696796,31654,3178.207942398879,85616.85535751782,0,4648,4648,0.7108514622689236,0.7360291823050584,0.36744749120825065,0.947711476685643,0.12406949501959552,1.046267990964198
pairwise_common_success,take,trial_0014,B2,HumanGT,HumanGT,4648,42,32242,198.02176948033778,2.021102025054026,32242,1.8647847401611284,202.1102025054024,31948,175.87439035483087,21978.962563346064,31654,18464.63383139709,2279418.5210519023,1,4648,4648,0.6944785295223055,0.708609558679945,0.3519924493426769,0.9341863170738561,0.17863256172805553,1.074710124975569
pairwise_common_success,take,trial_0014,B3,StrongLocal,B3,4649,42,32249,212.70460312924564,2.044573529692117,32249,1.9065340016703902,204.4573529692115,31955,182.6914991673583,22702.19551108437,31661,19591.926223844872,2387919.6481315703,1,4649,4649,0.7057359831211999,0.7329729584261422,0.36413261210345854,0.9370968651406713,0.10565474222014881,1.0443771465693326
pairwise_common_success,take,trial_0014,B3,StrongLocal,StrongLocal,4649,42,32249,221.3840409854053,3.1279431834880267,32249,3.3597238681522303,312.7943183488024,31955,440.2663445054742,31306.57282227487,31661,67668.5920535299,6260256.660694788,2,4649,4649,0.7090258769062411,0.7347604715055471,0.37013585525561676,0.9388670447918315,0.10909871553798745,1.0441464773029638
pairwise_common_success,take,trial_0014,B3,H_star,B3,4649,42,32249,212.70460312924564,2.044573529692117,32249,1.9065340016703902,204.4573529692115,31955,182.6914991673583,22702.19551108437,31661,19591.926223844872,2387919.6481315703,1,4649,4649,0.7057359831211999,0.7329729584261422,0.36413261210345854,0.9370968651406713,0.10565474222014881,1.0443771465693326
pairwise_common_success,take,trial_0014,B3,H_star,H_star,4649,42,32249,216.49639354359692,1.8940041902919413,32249,1.8128716778330025,189.40041902919396,31955,171.0280416355214,20857.077275660864,31661,18762.224159876765,2175484.3180936743,1,4649,4649,0.7080702075348185,0.7340675878869511,0.3669677294264013,0.9414901707520797,0.09159705780223959,1.0392683075140834
