record_id,parent_bite_id,take,phase,run_id,strategy,source_frames,SUCCESS_EXACT,success_percent,first_psi0_rad,first_raw_prediction_correction_abs_rad,first_target_position_equal,first_target_rotation_equal,first_target_psi_equal,first_status_equal,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,B1,103,103,100.0,3.001398116734949,0.14588901211879302,True,True,True,True,103,1,714,20.83886564868598,3.14146119538727,714,25.539673011746387,314.14611953872674,707,3625.4630303225144,31411.645251401085,700,631099.0560003114,6278742.237358666,2,103,103,0.931092718965295,0.9268861848635277,0.7815133836554008,1.100812032716107,0.7698229776176921,1.1109687834436688
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,B2,103,103,100.0,3.001398116734949,0.007971347858300781,True,True,True,True,103,1,714,3.38994573534058,0.016423878202708853,714,0.5985677177447662,1.6423878202708837,707,13.474138887691815,55.006202857374916,700,2061.971842184801,8943.74596965888,0,103,103,0.8934394574160175,0.9005419893992443,0.7506178182388292,1.041018876368211,0.7460338118910377,1.046267990964198
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,B3,103,103,100.0,3.001398116734949,0.008638470242128715,True,True,True,True,103,1,714,3.634076969290798,0.02518693974773578,714,0.6476837089071922,2.518693974773578,707,26.707340125154683,268.3177837406303,700,3890.740052953827,26760.704470236713,0,103,103,0.8830848307486888,0.8890306842814804,0.7514965596883314,1.0233974274603876,0.7470157542781504,1.0313543255577562
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,StrongLocal,103,103,100.0,3.001398116734949,0.00019754462746224277,True,True,True,True,103,1,714,3.607418349394038,0.019581939913838387,714,0.6352059095900189,1.9581939913838369,707,23.659633636657617,178.57311855407954,700,3707.4026332353137,19469.907459780166,0,103,103,0.8835512438729006,0.8899627277305215,0.7547337548064414,1.0193926520075554,0.7506627199657885,1.0285452286273387
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,H_star,103,103,100.0,3.001398116734949,0.0003083829991199494,True,True,True,True,103,1,714,3.6719602268091474,0.024714017740327332,714,0.6498628358816223,2.471401774032731,707,32.18240486190082,210.49758551393793,700,5257.516139078764,32828.09640016241,0,103,103,0.8861437165563634,0.8897511796699464,0.7550662088800171,1.028206658975897,0.7514539878238882,1.0351568265776039
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,HumanGT,103,103,100.0,3.001398116734949,0.0,True,True,True,True,103,1,714,2.767130946227203,0.013690412897145343,714,0.4973735275491354,1.3690412897145408,707,14.751543668185251,68.91363558634279,700,2329.2569272569835,10915.439727473367,0,103,103,0.8311380813430461,0.8685435260004066,0.683466007424417,0.9527220635180409,0.6778229433007317,0.9585074185896474
trial_0014_bite_012_withdrawal,trial_0014_bite_012,trial_0014,withdrawal,0,B0,104,104,100.0,-2.845956492163879,0.0,True,True,True,True,104,1,721,6.786672463295417,0.05326195975065673,721,1.431145847209004,5.326195975065668,714,25.564376229104088,173.6047117843317,707,3411.302920523449,20877.57906105068,0,104,104,0.5301615450891201,0.5062418607666488,0.2652183237896428,0.9039294173191189,0.23324565905513417,0.9596181250985722
trial_0014_bite_012_withdrawal,trial_0014_bite_012,trial_0014,withdrawal,0,B1,104,104,100.0,-2.845956492163879,0.07049917269506256,True,True,True,True,104,1,721,6.78392145339863,0.05540161591514626,721,1.4443994431794838,5.540161591514621,714,26.117681271997817,177.87495958593934,707,3474.0340107265183,21264.881263176583,0,104,104,0.5584713529893732,0.5092866110346135,0.32601995127086936,0.9127214960441902,0.3019724193588349,0.9739188186335022
trial_0014_bite_012_withdrawal,trial_0014_bite_012,trial_0014,withdrawal,0,B2,104,104,100.0,-2.845956492163879,0.007971347858301225,True,True,True,True,104,1,721,6.720250664190766,0.05126396214073203,721,1.4009049568787204,5.126396214073199,714,26.255003240253718,158.97452219744562,707,3501.3435372256995,19258.78890372877,0,104,104,0.6060537336195938,0.5244425406256994,0.4554090842680313,0.9023150353836016,0.42734321682097853,0.9614859580668895
trial_0014_bite_012_withdrawal,trial_0014_bite_012,trial_0014,withdrawal,0,B3,104,104,100.0,-2.845956492163879,0.008638470242128715,True,True,True,True,104,1,721,7.061390819556086,0.05069502920515667,721,1.4385345358638801,5.069502920515663,714,31.154684315500077,139.0053727201621,707,4344.982887567501,20567.52910683262,0,104,104,0.6005308034952181,0.5235499662307643,0.4452979588656913,0.8968630179399197,0.4166888710927452,0.9573789950743672
