record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0014_bite_019_withdrawal,trial_0014_bite_019,trial_0014,withdrawal,1.11,1.03,0.08000000000000007,0.08000000000000007
trial_0014_bite_020_transfer,trial_0014_bite_020,trial_0014,transfer,1.48,1.56,-0.08000000000000007,0.08000000000000007
trial_0014_bite_020_withdrawal,trial_0014_bite_020,trial_0014,withdrawal,1.11,1.03,0.08000000000000007,0.08000000000000007
trial_0014_bite_021_transfer,trial_0014_bite_021,trial_0014,transfer,1.48,2.04,-0.56,0.56
trial_0014_bite_021_withdrawal,trial_0014_bite_021,trial_0014,withdrawal,1.11,0.98,0.13000000000000012,0.13000000000000012
trial_0015_bite_001_transfer,trial_0015_bite_001,trial_0015,transfer,1.44,1.44,0.0,0.0
trial_0015_bite_001_withdrawal,trial_0015_bite_001,trial_0015,withdrawal,1.03,1.48,-0.44999999999999996,0.44999999999999996
trial_0015_bite_002_transfer,trial_0015_bite_002,trial_0015,transfer,1.44,1.07,0.3699999999999999,0.3699999999999999
trial_0015_bite_002_withdrawal,trial_0015_bite_002,trial_0015,withdrawal,1.03,1.28,-0.25,0.25
trial_0015_bite_003_transfer,trial_0015_bite_003,trial_0015,transfer,1.44,1.53,-0.09000000000000008,0.09000000000000008
trial_0015_bite_003_withdrawal,trial_0015_bite_003,trial_0015,withdrawal,1.03,1.52,-0.49,0.49
trial_0015_bite_004_transfer,trial_0015_bite_004,trial_0015,transfer,1.44,1.44,0.0,0.0
trial_0015_bite_004_withdrawal,trial_0015_bite_004,trial_0015,withdrawal,1.03,1.35,-0.32000000000000006,0.32000000000000006
trial_0015_bite_005_transfer,trial_0015_bite_005,trial_0015,transfer,1.44,1.21,0.22999999999999998,0.22999999999999998
trial_0015_bite_005_withdrawal,trial_0015_bite_005,trial_0015,withdrawal,1.03,1.62,-0.5900000000000001,0.5900000000000001
trial_0015_bite_006_transfer,trial_0015_bite_006,trial_0015,transfer,1.44,1.21,0.22999999999999998,0.22999999999999998
trial_0015_bite_006_withdrawal,trial_0015_bite_006,trial_0015,withdrawal,1.03,1.45,-0.41999999999999993,0.41999999999999993
trial_0015_bite_007_transfer,trial_0015_bite_007,trial_0015,transfer,1.44,1.26,0.17999999999999994,0.17999999999999994
trial_0015_bite_007_withdrawal,trial_0015_bite_007,trial_0015,withdrawal,1.03,1.43,-0.3999999999999999,0.3999999999999999
trial_0015_bite_008_transfer,trial_0015_bite_008,trial_0015,transfer,1.44,1.68,-0.24,0.24
trial_0015_bite_008_withdrawal,trial_0015_bite_008,trial_0015,withdrawal,1.03,2.26,-1.2299999999999998,1.2299999999999998
trial_0015_bite_009_transfer,trial_0015_bite_009,trial_0015,transfer,1.44,1.57,-0.13000000000000012,0.13000000000000012
trial_0015_bite_009_withdrawal,trial_0015_bite_009,trial_0015,withdrawal,1.03,1.82,-0.79,0.79
trial_0015_bite_010_transfer,trial_0015_bite_010,trial_0015,transfer,1.44,1.49,-0.050000000000000044,0.050000000000000044
trial_0015_bite_010_withdrawal,trial_0015_bite_010,trial_0015,withdrawal,1.03,1.3,-0.27,0.27
trial_0015_bite_011_transfer,trial_0015_bite_011,trial_0015,transfer,1.44,1.25,0.18999999999999995,0.18999999999999995
trial_0015_bite_011_withdrawal,trial_0015_bite_011,trial_0015,withdrawal,1.03,1.23,-0.19999999999999996,0.19999999999999996
trial_0015_bite_012_transfer,trial_0015_bite_012,trial_0015,transfer,1.44,1.57,-0.13000000000000012,0.13000000000000012
trial_0015_bite_012_withdrawal,trial_0015_bite_012,trial_0015,withdrawal,1.03,1.28,-0.25,0.25
trial_0015_bite_013_transfer,trial_0015_bite_013,trial_0015,transfer,1.44,1.45,-0.010000000000000009,0.010000000000000009
trial_0015_bite_013_withdrawal,trial_0015_bite_013,trial_0015,withdrawal,1.03,1.82,-0.79,0.79
