record_id,parent_bite_id,take,phase,generator,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success
trial_0013_bite_005_transfer,trial_0013_bite_005,trial_0013,transfer,contextual_promp,0.014137347355555059,0.01609161148746119,0.014870413604937035,0.023464020217976597,0.026196650420336517,0.09696501492219288,0.08608601418420259,True
trial_0013_bite_005_withdrawal,trial_0013_bite_005,trial_0013,withdrawal,retrieval,-0.05995783128243234,0.15644782837797352,0.1278366216026896,0.22500221793146252,0.23087697241816188,0.2547520955274372,0.2164949830510694,True
trial_0013_bite_005_withdrawal,trial_0013_bite_005,trial_0013,withdrawal,contextual_promp,-0.05995783128243234,0.1423701215654463,0.11712916151683749,0.20215462928214714,0.20384791098086932,0.24141897192079065,0.20640175387113135,True
trial_0013_bite_006_transfer,trial_0013_bite_006,trial_0013,transfer,retrieval,0.015041742549641454,0.01937546399864319,0.015673245571323227,0.036003501640895635,0.0377482309604808,0.04605854195996693,0.04202197036366786,True
trial_0013_bite_006_transfer,trial_0013_bite_006,trial_0013,transfer,contextual_promp,0.015041742549641454,0.013146905917095893,0.01171527574251125,0.021109050545724567,0.022415254312893675,0.04880682793884942,0.044338120928653205,True
trial_0013_bite_006_withdrawal,trial_0013_bite_006,trial_0013,withdrawal,retrieval,-0.004247634987651919,0.11505319705573333,0.08504837752507817,0.20968390582307073,0.23093389483903434,0.07767250495138592,0.0648032251695902,True
trial_0013_bite_006_withdrawal,trial_0013_bite_006,trial_0013,withdrawal,contextual_promp,-0.004247634987651919,0.07471935082461756,0.05231124022456694,0.14754702452986335,0.1538327775187237,0.049719651236758665,0.042151264725104165,True
trial_0013_bite_007_withdrawal,trial_0013_bite_007,trial_0013,withdrawal,retrieval,-0.015583262841658778,0.08955574740298165,0.0654815208125695,0.17373455529852747,0.18448363150495872,0.0827952491488619,0.06597621706284186,True
trial_0013_bite_007_withdrawal,trial_0013_bite_007,trial_0013,withdrawal,contextual_promp,-0.015583262841658778,0.08947666364030377,0.07582519848899529,0.13775896670693552,0.14338278174124128,0.060177336273195034,0.04331445738730568,True
trial_0013_bite_008_transfer,trial_0013_bite_008,trial_0013,transfer,retrieval,0.01264145237289483,0.017417245431426493,0.01397854512984304,0.03213373998603929,0.03585667669092966,0.012881733476297091,0.009439744149171795,True
trial_0013_bite_008_transfer,trial_0013_bite_008,trial_0013,transfer,contextual_promp,0.01264145237289483,0.03421441902547452,0.03135832379970238,0.05449175421986016,0.057194621610668184,0.02276937156970726,0.01811707753888066,True
trial_0013_bite_008_withdrawal,trial_0013_bite_008,trial_0013,withdrawal,retrieval,-0.00893776518576709,0.04243008308160221,0.03302184694580128,0.0779604818687131,0.08857753328335158,0.03365940860910569,0.026801288425936546,True
trial_0013_bite_008_withdrawal,trial_0013_bite_008,trial_0013,withdrawal,contextual_promp,-0.00893776518576709,0.011485070499632549,0.009491645615619621,0.021379434074993434,0.023979763644040083,0.034968815216473166,0.025872836236278056,True
trial_0013_bite_009_transfer,trial_0013_bite_009,trial_0013,transfer,retrieval,0.009100484044750598,0.044056808263554986,0.04145041704497364,0.06612092462608267,0.07157104254458288,0.10487666892726791,0.10022131934105562,True
trial_0013_bite_009_transfer,trial_0013_bite_009,trial_0013,transfer,contextual_promp,0.009100484044750598,0.00994379303925202,0.008726614990320253,0.01594798376268209,0.01865321699661468,0.07910430033652903,0.06736302027070187,True
trial_0013_bite_009_withdrawal,trial_0013_bite_009,trial_0013,withdrawal,retrieval,-0.04618999456045487,0.07558657592248393,0.06301349281136888,0.12790083773017016,0.13299853440329096,0.025911602251165584,0.02148846340491101,True
