comparison,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-H_star,transfer,difference_rms_jerk_a_minus_b,-1693.161897769434,-1900.736851270386,-1497.3766386081554,125,OK
StrongLocal-H_star,transfer,difference_min_margin_a_minus_b,0.0024066019389744307,0.0010078337596205007,0.003981203108132055,125,OK
StrongLocal-H_star,transfer,difference_min_jp_sigma_a_minus_b,-4.176616607300065e-06,-0.00020133831957026084,0.00017665401042972048,125,OK
StrongLocal-H_star,transfer,difference_min_jr_sigma_a_minus_b,0.000755254852658366,-0.0004057976371886233,0.0022584159245392305,125,OK
StrongLocal-H_star,transfer,difference_violations_a_minus_b,0.031496062992125984,0.0,0.07086614173228346,127,OK
StrongLocal-H_star,transfer,difference_psi_mae_a_minus_b,0.0028359400327489077,0.0002759156661918439,0.0053824043301130805,125,OK
StrongLocal-H_star,transfer,difference_elbow_mean_a_minus_b,0.00039278210918074566,-0.00014683213497473541,0.0009284800695109932,125,OK
StrongLocal-H_star,withdrawal,difference_travel_a_minus_b,-0.10477727715139207,-0.13452157477539725,-0.07638065542235871,127,OK
StrongLocal-H_star,withdrawal,difference_rms_velocity_a_minus_b,-0.009667152822323275,-0.01692433552001775,-0.003917055204190665,127,OK
StrongLocal-H_star,withdrawal,difference_rms_acceleration_a_minus_b,-7.4915366392997695,-8.882348428383759,-6.0677952875078995,127,OK
StrongLocal-H_star,withdrawal,difference_rms_jerk_a_minus_b,-1383.1600864252116,-1652.5990200776143,-1086.2332427257047,127,OK
StrongLocal-H_star,withdrawal,difference_min_margin_a_minus_b,0.00043643360971405904,-0.0022437380723065135,0.003006799430154429,127,OK
StrongLocal-H_star,withdrawal,difference_min_jp_sigma_a_minus_b,1.2806707067168096e-05,-0.0001226156327257825,0.0001407896461497372,127,OK
StrongLocal-H_star,withdrawal,difference_min_jr_sigma_a_minus_b,-0.0006549983247797843,-0.0011338834308919944,-0.0002031861690784908,127,OK
StrongLocal-H_star,withdrawal,difference_violations_a_minus_b,0.007874015748031496,-0.031496062992125984,0.05511811023622047,127,OK
StrongLocal-H_star,withdrawal,difference_psi_mae_a_minus_b,0.0025726667625343732,-6.526432795088707e-05,0.005210795467531725,127,OK
StrongLocal-H_star,withdrawal,difference_elbow_mean_a_minus_b,0.0007924704508558452,2.6210195664261115e-05,0.0015692362109833839,127,OK
StrongLocal-HumanGT,overall,difference_travel_a_minus_b,0.1604486198854228,0.1150862000419395,0.20721568982462435,127,OK
StrongLocal-HumanGT,overall,difference_rms_velocity_a_minus_b,0.02138574739826678,-0.002627265291297706,0.04362275358801255,127,OK
StrongLocal-HumanGT,overall,difference_rms_acceleration_a_minus_b,6.728444098504292,4.584369066922838,8.89524392458416,127,OK
StrongLocal-HumanGT,overall,difference_rms_jerk_a_minus_b,1437.0020625195648,1105.9512325981975,1788.7911506689795,127,OK
StrongLocal-HumanGT,overall,difference_min_margin_a_minus_b,-0.011376343535008588,-0.018987976873693642,-0.003746779649668278,127,OK
StrongLocal-HumanGT,overall,difference_min_jp_sigma_a_minus_b,-0.00019987332242920233,-0.0007742291275796393,0.00035881601452799646,127,OK
StrongLocal-HumanGT,overall,difference_min_jr_sigma_a_minus_b,-0.0013626892618847327,-0.0040998539683328415,0.0012947886947227193,127,OK
StrongLocal-HumanGT,overall,difference_violations_a_minus_b,0.03937007874015748,-0.003937007874015748,0.09448818897637795,127,OK
StrongLocal-HumanGT,overall,difference_psi_mae_a_minus_b,0.0792144213503218,0.07246218354268527,0.08613912598056009,127,OK
StrongLocal-HumanGT,overall,difference_elbow_mean_a_minus_b,0.020984921815794415,0.019102081212009354,0.022944196658913403,127,OK
StrongLocal-HumanGT,transfer,difference_travel_a_minus_b,0.15734320595399556,0.09473018512740232,0.22812456144327167,127,OK
