strategy,jp_sigma_min,jp_sigma_p05,jp_sigma_median,jp_sigma_p95,jp_cond_min,jp_cond_p05,jp_cond_median,jp_cond_p95,jr_sigma_min,jr_sigma_p05,jr_sigma_median,jr_sigma_p95,jr_cond_min,jr_cond_p05,jr_cond_median,jr_cond_p95,scope,support_bites,support_success_frames,row_scope,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,a_min_jp_sigma,b_min_jp_sigma,a_min_jr_sigma,b_min_jr_sigma
H_star,0.22649125498693803,0.23001171284541408,0.2663181663669025,0.2866273436448202,2.1985754813667295,2.2087733241311147,2.4405052689321924,3.266427739006226,1.2940149083362307,1.2992335879818449,1.341346537288802,1.376433342247977,1.2583552474631787,1.2613346093674591,1.2970820822288749,1.3492926417789417,withdrawal,127,13989.0,single_strategy,,,,,,,,,,
HumanGT,0.2270393154208632,0.2306574772594614,0.2671129632171152,0.28743658173094394,2.1983405011105943,2.208254047225125,2.4401727173952703,3.2626655728077085,1.2934575056217614,1.2986641618198485,1.3410875169192544,1.3799566473821367,1.2559811678686081,1.2585345826111347,1.2963520687135126,1.3482345919576944,withdrawal,127,13878.0,single_strategy,,,,,,,,,,
RobotSmooth,0.22700090696266947,0.22967941920066662,0.26266520612132804,0.2852835489574356,2.1904726713930733,2.2007336870782312,2.4535879722813636,3.2151076013430697,1.2977074244135574,1.301608288261737,1.3501815644643582,1.3818918520285812,1.2534620802696752,1.2560197599067358,1.2867970331580325,1.3409105605191214,withdrawal,127,13456.0,single_strategy,,,,,,,,,,
StrongLocal,0.22651695349897966,0.23017896452859368,0.26652814523588875,0.28688272376759166,2.200413699114297,2.2104050882928155,2.441493779603158,3.264522616203245,1.2933599100114508,1.2980069799936937,1.3398357455153331,1.3758755010063675,1.2587148414830747,1.2619090624278668,1.2986041199740472,1.3503457372385552,withdrawal,127,13990.0,single_strategy,,,,,,,,,,
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,RobotSmooth-HumanGT,RobotSmooth,HumanGT,30503.0,30490.0,30203.0,0.2288384522191083,0.22762445380417567,1.3019041464541585,1.3140408034585964
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,RobotSmooth-HumanGT,RobotSmooth,HumanGT,17152.0,17141.0,17004.0,0.23050594683770992,0.225387192754299,1.305854199442572,1.3310643101179225
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,RobotSmooth-HumanGT,RobotSmooth,HumanGT,13351.0,13349.0,13199.0,0.22712995363447547,0.22991672947003286,1.2978569610152104,1.2965986859797778
,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-B0,StrongLocal,B0,30898.0,30849.0,30555.0,0.22622528704578984,0.22655217697152955,1.310357791596226,1.2995747266755011
,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-B0,StrongLocal,B0,17188.0,17170.0,17031.0,0.2256894228516574,0.22953736509565278,1.3273248149760621,1.3050401817343686
,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-B0,StrongLocal,B0,13710.0,13679.0,13524.0,0.22675271243371553,0.2236139996840066,1.2936579654349698,1.2941953417750414
