strategy,reference,source_valid_frames,bite_mean_common_success_frames,psi_rmse,psi_mae,psi_p95,psi_max,q_mean,q_rms,q_p95,q_joint1_mae,q_joint2_mae,q_joint3_mae,q_joint4_mae,q_joint5_mae,q_joint6_mae,q_joint7_mae,elbow_mean,elbow_median,elbow_p95,elbow_max,plane_mean,plane_median,plane_p95,plane_max,scope,take,support_bites,support_common_success_frames
B0,HumanGT,111.19047619047619,110.66666666666667,0.19133436039274507,0.16237406119533868,0.28144440739239723,0.28701013159169325,0.29736526131628577,0.35014520801155546,0.5160521129226134,0.08501784606430174,0.061408017320088236,0.17063108866250853,0.0038670182809662198,0.145627251217824,0.10565623240837303,0.09458382245632996,0.0440706653533738,0.04917616438926843,0.07696726399646428,0.07865611141205467,0.16237406124714684,0.1829960720479822,0.28144440739240206,0.28701013159169275,take,trial_0014,21,4648
B1,HumanGT,111.19047619047619,110.66666666666667,0.19345863645544448,0.1689739194408945,0.28144146904451806,0.2877061174106603,0.3322070740132451,0.39223462313538154,0.6244519729254554,0.08631121649880928,0.05731295744176111,0.18822340968944493,0.006390791030744567,0.18099349227406786,0.10526867184252657,0.10873200856689902,0.04354320258091233,0.04921797061708178,0.07181973196435835,0.0735733056382948,0.16897391949267537,0.19032053883992722,0.28144146904451645,0.28770611741065993,take,trial_0014,21,4648
B2,HumanGT,111.19047619047619,110.66666666666667,0.0853232641199522,0.07328534358287243,0.12785363947290324,0.1321792129276813,0.13541469987577068,0.1607778034424354,0.23597215643686514,0.036167903345893274,0.028616369595641206,0.0796976862206188,0.0017533278806003934,0.06828603526360429,0.05007974062438351,0.03738785262255641,0.019449125238533947,0.02120920071897189,0.03440183450848066,0.03588445480407331,0.07328534363465368,0.08096205668473823,0.1278536394729037,0.1321792129276783,take,trial_0014,21,4648
B3,HumanGT,111.19047619047619,110.66666666666667,0.08643078820626081,0.07288816399169981,0.13406594967972266,0.1403595886248315,0.1346040367176427,0.16258787773560682,0.2477019346219524,0.03611960848712072,0.027908662074247744,0.07917224236337635,0.0017535953740607363,0.06774828312756004,0.04961193860215026,0.03728893884512098,0.019300011727645634,0.02092281302203331,0.035907382422749524,0.038036628231810775,0.07288816404348504,0.08003335963757678,0.1340659496797217,0.14035958862483455,take,trial_0014,21,4648
H_star,HumanGT,111.19047619047619,110.66666666666667,0.08742505896190203,0.07365640991140476,0.1376824123810751,0.1459373959625949,0.13588032626879554,0.1640467875408659,0.25556532370811524,0.03699351741446254,0.02759573254853599,0.0796777967733312,0.0017834514847656338,0.06844872080004838,0.04980534438459565,0.03835004099098563,0.019530885852156926,0.020910932929819083,0.036498446012218744,0.03909387318914185,0.07365640996319207,0.07875461199882651,0.13768241238107484,0.14593739596259303,take,trial_0014,21,4648
RobotSmooth,HumanGT,111.19047619047619,110.66666666666667,0.18507025953760256,0.15782637168735647,0.27087075183271586,0.27856721539111995,0.28977344251516507,0.3394391182775968,0.4981678644788292,0.08202719331754402,0.05971405153458739,0.16681106172491006,0.0037730172571017197,0.14284121535477928,0.10270473045746886,0.09091630436072277,0.04263491617442044,0.04828340025878192,0.07363369185571325,0.07579067584945752,0.1578263717391641,0.18025688182896454,0.2708707518327194,0.2785672153911228,take,trial_0014,21,4648
StrongLocal,HumanGT,111.19047619047619,110.66666666666667,0.09102669572970686,0.076624184386464,0.1426115464661071,0.14966078100609753,0.14369072136783304,0.18420703088997697,0.2651169713277932,0.04040834432753388,0.02916439051500151,0.0843426827069643,0.0018782897971628032,0.07086773918425802,0.051724209950691075,0.040083845936771785,0.02029053676307284,0.02150375378056823,0.037743835536163485,0.04012252789624573,0.0766241844382485,0.08105518690578724,0.1426115464661062,0.14966078100609279,take,trial_0014,21,4648
B0,HumanGT,146.28947368421052,140.97368421052633,0.16877227905760356,0.1405802636497303,0.26310896088073615,0.2694456809071961,0.24475411937646027,0.29471571452756984,0.4593624428890157,0.037924680321034646,0.0767947466786119,0.15387333179265114,0.001940611544220909,0.11669050488293113,0.10912538958060118,0.027082571949305103,0.03576400774570756,0.03279045601702838,0.0708796821533379,0.07304941683097471,0.14058026367638699,0.13823581723333656,0.2631089608807418,0.26944568090763477,take,trial_0015,19,5357
B1,HumanGT,146.28947368421052,140.97368421052633,0.17129849328451008,0.14705887879964477,0.2553594492060897,0.2607441308831964,0.2633954743452593,0.3132045082945581,0.46819516092990815,0.043595719932858205,0.07478978848379167,0.1679286461750879,0.0024716312595161796,0.1331645696559284,0.1100782766844472,0.02808252970054331,0.036023762497238127,0.03678980500527276,0.06528922357678395,0.06738824576895094,0.14705887882630278,0.1574261151924495,0.2553594492061277,0.26074413088319287,take,trial_0015,19,5357
B2,HumanGT,146.28947368421052,140.94736842105263,0.09815242907817248,0.08119802816864156,0.15526551811955783,0.15922953661158648,0.27333778736817993,0.30549829048921057,0.4022577489857414,0.02128396966345811,0.04653098522055771,0.08752466335508709,0.0010765745685345806,0.14398338202556316,0.13317689748836198,0.0971716672097855,0.02126811609075667,0.020578041338206288,0.04235457816564452,0.043839585541755315,0.08119802819529677,0.08077555097915912,0.15526551811955072,0.15922953661156983,take,trial_0015,19,5356
